80;monitor;bonito y elegante;tecnologia;500000;fhgj;2;Disponible;;
81;mouse;grande y pesad;tecnologia;500001;fhgj;2;Disponible;;
82;monitor;bonito y elegante;tecnologia;500002;fhgj;2;Disponible;;
83;mouse;grande y pesad;tecnologia;500003;fhgj;2;Disponible;;
84;monitor;bonito y elegante;tecnologia;500004;fhgj;2;Disponible;;
85;mouse;grande y pesad;tecnologia;500005;fhgj;2;Disponible;;
86;monitor;bonito y elegante;tecnologia;500006;fhgj;2;Disponible;;
87;mouse;grande y pesad;tecnologia;500007;fhgj;2;Disponible;;
88;monitor;bonito y elegante;tecnologia;500008;fhgj;2;Disponible;;
89;mouse;grande y pesad;tecnologia;500009;fhgj;2;Disponible;;
90;monitor;bonito y elegante;tecnologia;500010;fhgj;2;Disponible;;
91;mouse;grande y pesad;tecnologia;500011;fhgj;2;Disponible;;
92;monitor;grande y pesad;tecnologia;500012;fhgj;2;Disponible;;
